,AMZN,GME,GOOG,JPM,SPY,XOM
2005-05-27,1.775,2.5139,,21.9512,84.2553,30.8234
2005-05-31,1.775,2.4542,,21.9206,83.7157,30.4978
2005-06-01,1.832,2.5282,,21.9267,84.4304,31.0134
2005-06-02,1.82,2.5333,,21.9144,84.6126,31.1056
2005-06-03,1.78,2.6158,,21.7979,84.1852,31.0134
2005-06-06,1.789,2.7378,,21.7734,84.1081,31.2576
2005-06-07,1.768,2.6957,,21.755,84.1712,31.1762
2005-06-08,1.741,2.6259,,21.8715,84.017,30.7854
2005-06-09,1.76,2.7176,,21.7673,84.4164,31.7134
2005-06-10,1.748,2.758,,21.7244,84.2202,31.6808
2005-06-13,1.743,2.7437,,21.7673,84.4865,31.7188
2005-06-14,1.752,2.7252,,21.8286,84.6827,31.7731
2005-06-15,1.762,2.8211,,21.896,84.8438,32.153
2005-06-16,1.779,2.7765,,22.0125,85.061,32.6251
2005-06-17,1.766,2.7833,,22.1229,85.3759,33.0429
2005-06-20,1.785,2.726,,22.1045,85.4041,33.0212
2005-06-21,1.769,2.6974,,22.0984,85.4533,32.2941
2005-06-22,1.761,2.7353,,22.2333,85.5237,32.3809
2005-06-23,1.772,2.7353,,22.0309,84.3207,32.0281
2005-06-24,1.751,2.7016,,21.8102,83.7016,31.556
2005-06-27,1.725,2.6579,,21.8225,83.8212,32.1801
2005-06-28,1.686,2.7286,,22.0248,84.5247,32.0661
2005-06-29,1.668,2.7328,,22.0493,84.2996,31.7134
2005-06-30,1.655,2.753,,21.6569,83.8423,31.187
2005-07-01,1.645,2.7614,,21.7064,84.0886,31.6429
2005-07-05,1.704,2.7849,,21.6507,84.7639,32.6359
2005-07-06,1.703,2.8304,,21.4216,84.0534,32.077
2005-07-07,1.698,2.88,,21.335,84.384,32.2995
2005-07-08,1.737,2.9592,,21.5516,85.3478,32.2344
2005-07-11,1.78,2.9853,,21.6445,85.784,32.5437
2005-07-12,1.816,3.0046,,21.8241,86.0091,32.5003
2005-07-13,1.826,2.9861,,21.9727,86.1287,32.4297
2005-07-14,1.86,2.9768,,22.0965,86.4664,31.7948
2005-07-15,1.858,2.9617,,22.2017,86.4171,31.5615
2005-07-18,1.86,2.944,,21.985,86.0724,31.556
2005-07-19,1.909,2.944,,21.7993,86.5437,31.8979
2005-07-20,1.909,2.9693,,21.7683,86.8392,32.0173
2005-07-21,1.898,2.9474,,21.9169,86.3327,31.4149
2005-07-22,1.898,2.8986,,22.0408,86.9096,32.2886
2005-07-25,1.898,2.8767,,21.9417,86.6633,32.5274
2005-07-26,1.887,2.8657,,21.8984,86.7689,32.3429
2005-07-27,2.183,2.9423,,21.886,87.0854,32.3429
2005-07-28,2.284,2.9752,,21.9541,87.6342,32.56
2005-07-29,2.258,2.891,,21.756,87.0503,31.8816
2005-08-01,2.247,2.8708,,21.855,86.9869,32.1421
2005-08-02,2.326,2.9204,,22.0098,87.5075,32.4569
2005-08-03,2.306,2.8876,,22.0469,87.7397,32.0173
2005-08-04,2.273,2.8169,,21.9541,87.0362,31.7568
2005-08-05,2.264,2.71,,21.8241,86.4453,31.5235
2005-08-08,2.283,2.7109,,21.6631,86.2835,31.9359
2005-08-09,2.297,2.769,,21.6879,86.804,32.2669
2005-08-10,2.238,2.7723,,21.5455,86.7618,32.665
2005-08-11,2.261,2.7353,,21.5516,87.1065,33.2376
2005-08-12,2.21,2.6427,,21.2421,86.5719,33.2921
2005-08-15,2.252,2.6553,,21.4526,87.1065,32.9486
2005-08-16,2.214,2.5308,,21.4092,85.9739,32.2124
2005-08-17,2.206,2.4786,,21.335,85.9669,31.727
2005-08-18,2.186,2.7218,,21.4588,85.9598,31.6889
2005-08-19,2.186,2.7757,,21.3845,86.1568,32.076
2005-08-22,2.189,2.8826,,21.3659,86.1568,32.2124
2005-08-23,2.171,2.9356,,21.2669,85.995,32.1742
2005-08-24,2.119,2.9036,,20.9573,85.2282,32.1088
2005-08-25,2.116,2.8994,,21.1245,85.5378,32.2724
2005-08-26,2.119,2.8624,,20.8335,84.9539,31.8525
2005-08-29,2.14,2.8405,,20.9944,85.6081,31.8579
2005-08-30,2.125,2.8043,,20.7901,85.1579,31.9615
2005-08-31,2.135,2.8405,,20.9821,86.2342,32.665
2005-09-01,2.092,2.8195,,21.0873,86.1709,33.6357
2005-09-02,2.076,2.8472,,21.1183,86.0161,33.0904
2005-09-06,2.181,3.0063,,21.4031,87.0221,33.2976
2005-09-07,2.186,3.0492,,21.6012,87.1699,33.5157
2005-09-08,2.148,3.0307,,21.4464,86.8814,33.4285
2005-09-09,2.148,3.0416,,21.5578,87.6553,34.4646
2005-09-12,2.225,3.0602,,21.4031,87.4794,34.0938
2005-09-13,2.197,3.0501,,21.143,86.994,33.7393
2005-09-14,2.155,3.0888,,21.1987,86.6774,34.0665
2005-09-15,2.136,3.0164,,21.1306,86.6352,34.061
2005-09-16,2.14,3.0315,,21.6631,87.251,34.7372
2005-09-19,2.138,3.0282,,21.4154,86.9614,35.2444
2005-09-20,2.093,2.9718,,21.3783,86.2266,35.1899
2005-09-21,2.063,2.7875,,21.0563,85.4212,35.4298
2005-09-22,2.104,2.811,,21.2049,85.725,35.4353
2005-09-23,2.109,2.8447,,21.0935,85.7957,34.8081
2005-09-26,2.167,2.8018,,21.0006,85.8946,35.228
2005-09-27,2.158,2.7538,,20.9759,85.8734,35.2389
2005-09-28,2.169,2.7647,,21.0006,85.9581,35.2826
2005-09-29,2.24,2.7016,,21.2669,86.6576,35.3371
2005-09-30,2.265,2.6486,,21.0068,86.926,34.65
2005-10-03,2.301,2.6065,,21.1245,86.6152,34.0774
2005-10-04,2.247,2.6494,,21.0119,85.6402,33.0195
2005-10-05,2.225,2.694,,20.9181,84.5169,32.1469
2005-10-06,2.201,2.609,,21.0494,84.2131,31.9397
2005-10-07,2.186,2.5838,,21.1995,84.5028,32.5014
2005-10-10,2.188,2.6292,,20.9619,83.7892,31.9015
2005-10-11,2.17,2.6006,,20.8305,83.6691,32.3923
2005-10-12,2.128,2.588,,20.8055,83.0121,32.1415
2005-10-13,2.131,2.5804,,21.1057,82.9626,31.7161
2005-10-14,2.19,2.6048,,21.3121,83.8387,31.9779
2005-10-17,2.251,2.6553,,21.262,84.1495,32.0979
2005-10-18,2.233,2.7639,,21.1182,83.2382,30.7018
2005-10-19,2.293,2.8582,,21.7185,84.6229,31.1763
2005-10-20,2.25,2.8649,,21.731,83.1322,30.102
2005-10-21,2.298,2.8691,,21.9687,83.4572,30.1947
2005-10-24,2.347,2.9213,,22.3627,84.7501,31.0018
2005-10-25,2.309,3.0021,,22.3376,84.5805,31.1926
2005-10-26,1.988,2.8514,,22.5753,84.3332,30.6473
2005-10-27,1.953,2.7807,,22.5315,83.436,30.3201
2005-10-28,1.948,2.9019,,22.7879,84.637,30.7073
2005-10-31,1.993,2.9861,,22.9005,84.8702,30.6146
2005-11-01,2.019,2.9962,,23.0443,85.1245,30.7564
2005-11-02,2.038,3.0509,,23.2632,86.0147,31.2908
2005-11-03,2.078,3.1132,,23.1944,86.382,31.9397
2005-11-04,2.055,3.0618,,23.332,86.269,31.5743
2005-11-07,2.07,3.1309,,23.5633,86.3538,31.1381
2005-11-08,2.098,3.0627,,23.3507,86.3538,31.445
2005-11-09,2.07,3.1107,,23.5884,86.4668,31.5163
2005-11-10,2.109,3.0955,,23.9636,87.138,30.9408
2005-11-11,2.134,3.0223,,23.926,87.4347,30.9791
2005-11-14,2.127,3.0391,,23.8447,87.3852,31.0504
2005-11-15,2.223,2.9911,,23.5946,87.0673,30.9298
2005-11-16,2.265,2.9836,,23.6446,87.244,31.3409
2005-11-17,2.337,3.0063,,23.7197,88.0564,31.4505
2005-11-18,2.399,3.0526,,23.7822,88.4026,31.9274
2005-11-21,2.4,3.1813,,23.6509,88.8477,32.5413
2005-11-22,2.443,3.0787,,23.8885,89.2292,32.7002
2005-11-23,2.412,2.9844,,24.2512,89.7449,32.8153
2005-11-25,2.403,3.0753,,24.3013,89.8156,32.9469
2005-11-28,2.418,2.9608,,24.3263,89.1797,32.1959
2005-11-29,2.427,2.9449,,24.3638,89.0808,31.9767
2005-11-30,2.423,2.8312,,23.9198,88.6004,31.8068
2005-12-01,2.45,2.8287,,24.1199,89.5047,32.5303
2005-12-02,2.453,2.9625,,24.3826,89.6177,32.3768
2005-12-05,2.442,2.9356,,24.295,89.427,32.618
2005-12-06,2.463,2.9457,,24.295,89.5966,32.7166
2005-12-07,2.442,2.8901,,24.0574,89.0738,32.3494
2005-12-08,2.418,2.9162,,24.1699,89.0172,32.5687
