ReportDate,Barrid,YieldPerc,TotalRiskPerc,SpecRiskPerc,HistBeta,PredBeta,DataDate
2018.12.20,DA001974,3.550546,17.46311,3.149572,1.332999,1.190955,2018.12.20
2018.12.20,DA001517,2.384522,19.56592,3.710486,0.883231,1.152548,2018.12.20
2018.12.20,DA109942,4.39862,18.11947,5.576074,0.973838,1.041144,2018.12.20
2018.12.21,DA001517,2.385562,19.18596,3.843257,0.880616,1.130773,2018.12.21
2018.12.21,DA109942,4.391502,17.78256,5.8509,0.973675,1.023778,2018.12.21
2018.12.24,DA001974,3.543317,16.50352,3.35445,1.331896,1.199071,2018.12.24
2018.12.24,DA001517,2.392802,18.50893,3.78883,0.878792,1.151739,2018.12.24
2018.12.24,DA109942,4.405681,17.07448,6.002674,0.958816,1.030397,2018.12.24
2018.12.25,DA001974,3.543317,15.23663,3.266959,1.32867,1.058135,2018.12.25
2018.12.25,DA001517,2.392802,17.07982,3.593302,0.877398,1.011191,2018.12.25
2018.12.25,DA109942,4.406015,15.71729,5.284113,0.961614,0.909955,2018.12.25
2018.12.26,DA001974,3.543317,15.34357,3.204695,1.327091,1.074486,2018.12.26
2018.12.26,DA001517,2.389891,17.28078,3.57136,0.878713,1.029004,2018.12.26
2018.12.26,DA109942,4.407856,15.97916,5.534164,0.96245,0.929003,2018.12.26
2018.12.27,DA001517,2.328203,17.48582,3.528853,0.867676,0.93433,2018.12.27
2018.12.27,DA109942,4.405139,16.40556,5.839169,0.964691,0.857728,2018.12.27
2018.12.28,DA001974,3.533169,15.45293,3.522432,1.325092,0.97744,2018.12.28
2018.12.28,DA001517,2.332084,17.27131,3.537969,0.868,0.935401,2018.12.28
2018.12.28,DA109942,4.407477,16.05878,5.526479,0.964049,0.853091,2018.12.28
2018.12.31,DA001517,2.366206,16.93024,3.400047,0.866822,0.967576,2018.12.31
2018.12.31,DA109942,4.460334,15.73427,5.500268,0.966595,0.877443,2018.12.31
2019.01.01,DA001517,2.366206,15.58283,3.131994,0.868748,0.968719,2019.01.01
2019.01.01,DA109942,4.460334,14.47107,5.118119,0.969793,0.878288,2019.01.01
2019.01.02,DA001517,2.373658,17.07921,3.330299,0.868268,1.053555,2019.01.02
2019.01.02,DA109942,4.459095,15.82678,5.410028,0.969771,0.955994,2019.01.02
2019.01.03,DA001517,2.367168,18.74209,3.449958,0.865772,1.139453,2019.01.03
2019.01.03,DA109942,4.464307,17.42061,5.975172,0.971606,1.037281,2019.01.03
2019.01.04,DA001517,2.358442,20.18413,3.562961,0.865292,1.074074,2019.01.04
2019.01.04,DA109942,4.477228,18.7717,5.991483,0.971791,0.977749,2019.01.04
2019.01.07,DA001517,2.363373,20.67623,3.651601,0.870269,1.064761,2019.01.07
2019.01.07,DA109942,4.47809,19.28568,5.812211,0.97195,0.978306,2019.01.07
2019.01.08,DA001517,2.362282,20.08742,3.593645,0.866076,1.047675,2019.01.08
2019.01.08,DA109942,4.481675,18.75491,5.645247,0.964193,0.965942,2019.01.08
2019.01.09,DA001974,3.669525,18.48165,3.289349,1.320668,1.104812,2019.01.09
2019.01.09,DA001517,2.337435,20.35687,3.626003,0.868693,1.044653,2019.01.09
2019.01.09,DA109942,4.478901,19.18445,5.786221,0.958382,0.974397,2019.01.09
2019.01.10,DA001974,3.660882,17.94725,3.131195,1.321906,1.095815,2019.01.10
2019.01.10,DA001517,2.338736,19.76327,3.576775,0.872366,1.035928,2019.01.10
2019.01.10,DA109942,4.477085,18.53456,5.733517,0.963812,0.957749,2019.01.10
2019.01.11,DA001974,3.662541,17.04284,3.065983,1.324227,1.083378,2019.01.11
2019.01.11,DA001517,2.34216,18.81315,3.560293,0.875257,1.024639,2019.01.11
2019.01.11,DA109942,4.466244,18.09664,6.680578,0.968797,0.953462,2019.01.11
2019.01.14,DA001974,3.665439,16.56448,2.918748,1.321308,1.109976,2019.01.14
2019.01.14,DA001517,2.339268,18.31322,3.502748,0.876139,1.052965,2019.01.14
2019.01.14,DA109942,4.468012,17.54148,6.383665,0.97019,0.977595,2019.01.14
2019.01.15,DA001974,3.656066,16.3718,3.003778,1.324239,1.09927,2019.01.15
2019.01.15,DA001517,2.348161,17.98672,3.523017,0.879557,1.039407,2019.01.15
2019.01.15,DA109942,4.464339,17.40718,6.800406,0.971959,0.964834,2019.01.15
2019.01.16,DA001974,3.654352,16.09994,2.930581,1.325222,1.099859,2019.01.16
2019.01.16,DA001517,2.35607,17.62793,3.510099,0.882862,1.035806,2019.01.16
2019.01.16,DA109942,4.46997,17.04209,6.746333,0.970704,0.959914,2019.01.16
2019.01.17,DA001974,3.65462,16.69777,2.889025,1.325101,1.117778,2019.01.17
2019.01.17,DA001517,2.366941,18.27832,3.494316,0.883244,1.052714,2019.01.17
2019.01.17,DA109942,4.46671,17.41683,6.128992,0.970947,0.977311,2019.01.17
2019.01.18,DA001974,3.644676,16.60449,2.955662,1.329215,1.12716,2019.01.18
2019.01.18,DA001517,2.36415,18.0138,3.534268,0.889414,1.051913,2019.01.18
2019.01.18,DA109942,4.467318,17.42962,6.678169,0.967752,0.980936,2019.01.18
2019.01.21,DA001974,3.649474,16.69721,2.848958,1.330595,1.118924,2019.01.21
2019.01.21,DA001517,2.367732,18.16233,3.510094,0.893472,1.046444,2019.01.21
2019.01.21,DA109942,4.465848,17.15608,5.601155,0.967329,0.971839,2019.01.21
2019.01.22,DA001974,3.649985,16.28572,2.800012,1.327814,1.129238,2019.01.22
2019.01.22,DA001517,2.36341,17.74049,3.427691,0.891962,1.058684,2019.01.22
2019.01.22,DA109942,4.463278,16.80215,5.739074,0.96717,0.979159,2019.01.22
2019.01.23,DA001974,3.652128,15.94356,2.731198,1.325146,1.135362,2019.01.23
2019.01.23,DA001517,2.359673,17.39902,3.385014,0.891183,1.064679,2019.01.23
2019.01.23,DA109942,4.46524,16.41228,5.500642,0.96632,0.982889,2019.01.23
2019.01.24,DA001974,3.660944,15.62538,2.754916,1.323629,1.129157,2019.01.24
2019.01.24,DA001517,2.368844,17.10985,3.41948,0.893337,1.062312,2019.01.24
2019.01.24,DA109942,4.461613,16.08341,5.275562,0.967543,0.979209,2019.01.24
2019.01.25,DA001974,3.649519,16.05726,2.806389,1.329761,1.125311,2019.01.25
2019.01.25,DA001517,2.373244,17.71233,3.515449,0.901332,1.066944,2019.01.25
2019.01.25,DA109942,4.462165,16.51286,5.327743,0.969768,0.97762,2019.01.25
2019.01.28,DA001974,3.655837,16.0639,2.705374,1.32967,1.141155,2019.01.28
2019.01.28,DA001517,2.373762,17.81437,3.520828,0.9048,1.084805,2019.01.28
2019.01.28,DA109942,4.457501,16.47571,4.856699,0.971329,0.995561,2019.01.28
2019.01.29,DA001974,3.659275,15.90779,2.763675,1.330136,1.136629,2019.01.29
2019.01.29,DA001517,2.377905,17.71213,3.695137,0.909395,1.084494,2019.01.29
2019.01.29,DA109942,4.467449,16.40112,5.253742,0.968249,0.990079,2019.01.29
2019.01.30,DA001974,3.66377,15.81237,2.839353,1.331152,1.098798,2019.01.30
2019.01.30,DA001517,2.382392,17.71308,3.814141,0.915493,1.050553,2019.01.30
2019.01.30,DA109942,4.465711,16.45658,5.571526,0.966949,0.959776,2019.01.30
2019.01.31,DA001974,3.427285,15.99266,3.002288,1.334158,1.09336,2019.01.31
2019.01.31,DA001517,2.213141,17.80408,3.948445,0.913992,1.037632,2019.01.31
2019.01.31,DA109942,4.403958,16.48659,5.43469,0.964972,0.947039,2019.01.31
2019.02.01,DA001974,3.421903,15.56182,2.854856,1.333701,1.085757,2019.02.01
2019.02.01,DA001517,2.219645,17.34702,3.876298,0.914942,1.029907,2019.02.01
2019.02.01,DA109942,4.403958,16.01903,5.266047,0.959832,0.938312,2019.02.01
2019.02.04,DA001974,3.413979,15.12136,2.799911,1.33277,1.061496,2019.02.04
2019.02.04,DA001517,2.219645,16.83391,3.718147,0.914002,1.006753,2019.02.04
2019.02.04,DA109942,4.403958,15.50461,5.126057,0.956416,0.912205,2019.02.04
2019.02.05,DA001974,3.414876,14.4254,2.744688,1.332149,1.026249,2019.02.05
2019.02.05,DA001517,2.219645,16.0233,3.535055,0.910944,0.97031,2019.02.05
2019.02.05,DA109942,4.403958,14.66419,4.712681,0.953821,0.87366,2019.02.05
2019.02.06,DA001974,3.414876,13.7499,2.582358,1.331118,1.025409,2019.02.06
2019.02.06,DA001517,2.219645,15.24924,3.342468,0.910028,0.967634,2019.02.06
2019.02.06,DA109942,4.403958,13.91492,4.421417,0.953001,0.87058,2019.02.06
2019.02.07,DA001974,3.414876,13.58336,2.44898,1.330458,1.013027,2019.02.07
2019.02.07,DA001517,2.219349,15.09524,3.205575,0.910721,0.957083,2019.02.07
2019.02.07,DA109942,4.403958,14.08174,5.301853,0.952514,0.861955,2019.02.07
2019.02.08,DA001974,3.410722,14.00116,2.486325,1.329868,1.016932,2019.02.08
2019.02.08,DA001517,2.212341,15.54477,3.223904,0.90589,0.961232,2019.02.08
2019.02.08,DA109942,4.403958,14.44773,5.282593,0.95256,0.864073,2019.02.08
2019.02.11,DA001974,3.401506,13.94814,2.754577,1.332469,1.057058,2019.02.11
2019.02.11,DA001517,2.210702,15.4518,3.297085,0.90683,1.000866,2019.02.11
2019.02.11,DA109942,4.383893,14.49446,5.609297,0.957866,0.897481,2019.02.11
2019.02.12,DA001974,3.403018,14.28022,2.748526,1.332294,1.016857,2019.02.12
2019.02.12,DA001517,2.215388,15.93303,3.412679,0.909961,0.96725,2019.02.12
2019.02.12,DA109942,4.381287,14.83382,5.600639,0.958838,0.865134,2019.02.12
2019.02.13,DA001974,3.407535,14.7964,2.840768,1.332499,1.034357,2019.02.13
2019.02.13,DA001517,2.215502,16.42281,3.540694,0.909835,0.977661,2019.02.13
2019.02.13,DA109942,4.379226,15.0144,5.121054,0.960372,0.869942,2019.02.13
2019.02.14,DA001974,3.412884,15.02561,2.850218,1.329592,1.074834,2019.02.14
2019.02.14,DA001517,2.220915,16.7778,3.709128,0.913335,1.020086,2019.02.14
2019.02.14,DA109942,4.383915,15.38452,5.537911,0.960126,0.906701,2019.02.14
2019.02.15,DA001974,3.41713,15.01863,2.886205,1.325656,1.099231,2019.02.15
2019.02.15,DA001517,2.213235,16.68614,3.723154,0.910555,1.040688,2019.02.15
2019.02.15,DA109942,4.38439,15.26857,5.250965,0.958755,0.926413,2019.02.15
2019.02.18,DA001974,3.419244,14.7717,2.921958,1.327613,1.093275,2019.02.18
2019.02.18,DA001517,2.211937,16.33468,3.668487,0.911277,1.029614,2019.02.18
2019.02.18,DA109942,4.381981,15.07748,5.418292,0.960323,0.919446,2019.02.18
